iter	RMSE
137	1775.277479
138	1774.121293
139	1773.515544
140	1771.81605
141	1771.180173
142	1770.580416
143	1769.798642
144	1768.996763
145	1768.052585
146	1766.468027
147	1765.878923
148	1765.270451
149	1764.381615
150	1763.652984
151	1762.824915
152	1761.725957
153	1761.104183
154	1760.220125
155	1759.318646
156	1758.375213
157	1756.867299
158	1756.128495
159	1755.219067
160	1754.190725
161	1753.523355
162	1751.918689
163	1751.349823
164	1750.825085
165	1749.917128
166	1748.948797
167	1748.52784
168	1747.54604
169	1746.86274
170	1745.609867
171	1744.802383
172	1744.281771
173	1743.879253
174	1743.058183
175	1742.483029
176	1741.906357
177	1740.948868
178	1740.36951
179	1739.827801
180	1739.228451
181	1738.508692
182	1737.707114
183	1736.857891
184	1735.560128
185	1734.647326
186	1733.956543
187	1733.497059
188	1732.868412
189	1732.33562
190	1731.861237
191	1731.417647
192	1730.881203
193	1730.522857
194	1729.505976
195	1728.877589
196	1727.582502
197	1726.787848
198	1726.265821
199	1725.425329
200	1724.316906
201	1723.69151
202	1722.591849
203	1720.700252
204	1719.767035
205	1719.181237
206	1718.866288
207	1718.674547
208	1717.699371
209	1717.333698
210	1716.361423
211	1715.572783
212	1714.421638
213	1713.469135
214	1713.135162
215	1712.608002
216	1712.053026
217	1711.219765
218	1710.52044
219	1710.078505
220	1709.638025
221	1708.907427
222	1708.530077
223	1707.750273
224	1706.951262
225	1706.547687
226	1705.645652
227	1705.172249
228	1704.453625
229	1703.642049
230	1702.930056
231	1702.548774
232	1701.155807
233	1700.609056
234	1700.20403
235	1699.695654
236	1698.745836
237	1697.948414
238	1697.415883
239	1696.909451
240	1696.208587
241	1695.72039
242	1694.860604
243	1694.342766
244	1693.914025
245	1693.476766
246	1692.56558
247	1692.140814
248	1691.748465
249	1691.179043
250	1690.250206
251	1689.258293
252	1688.916685
253	1688.678339
254	1687.990876
255	1687.759358
256	1687.070533
257	1686.814056
258	1686.323084
259	1685.466679
260	1684.967082
261	1684.460365
262	1683.929994
263	1683.404399
264	1682.958696
265	1682.68626
266	1682.312593
267	1682.108659
268	1681.576281
269	1680.912373
270	1680.319689
271	1679.723878
272	1678.851439
273	1678.360671
274	1677.851519
275	1677.311009
276	1676.953347
277	1676.16746
278	1675.704491
279	1675.311824
280	1675.02186
281	1674.76166
282	1674.07975
283	1673.463041
284	1673.005514
285	1672.730241
286	1672.018966
287	1671.595728
288	1671.200437
289	1671.05242
290	1670.560358
291	1669.816095
292	1669.561232
293	1669.433454
294	1668.862902
295	1668.330121
296	1667.989161
297	1667.134209
298	1666.693864
299	1666.03446
300	1665.564067
301	1665.206881
302	1664.878556
303	1664.683151
304	1664.05218
305	1663.156786
306	1662.931987
307	1662.428566
308	1662.081221
309	1661.840362
310	1661.699581
311	1661.464789
312	1661.145466
313	1660.599184
314	1660.200717
315	1659.162917
316	1658.823529
317	1658.045054
318	1657.909193
319	1657.160476
320	1656.661218
321	1655.942984
322	1655.543173
323	1655.087173
324	1654.723647
325	1654.546995
326	1653.665914
327	1652.991859
328	1652.757173
329	1652.193566
330	1651.953393
331	1651.64953
332	1651.352779
333	1650.790318
334	1650.162719
335	1649.257767
336	1648.952903
337	1648.670698
338	1648.385359
339	1648.019736
340	1647.133648
341	1646.778305
342	1645.948515
343	1645.7017
344	1644.904422
345	1644.31383
346	1643.659681
347	1643.435534
348	1643.147711
349	1642.278757
350	1641.394922
351	1641.204778
352	1640.87999
353	1640.449114
354	1639.896163
355	1639.454481
356	1639.148752
357	1638.926302
358	1638.199389
359	1637.353901
360	1636.886338
361	1636.544082
362	1636.157107
363	1635.75489
364	1634.993992
365	1634.442421
366	1633.445715
367	1633.164284
368	1632.971201
369	1632.374479
370	1631.35293
371	1631.228394
372	1630.696076
373	1630.284799
374	1629.719945
375	1628.990912
376	1628.684014
377	1628.286369
378	1628.024039
379	1627.6097
380	1627.414708
381	1626.873867
382	1626.523648
383	1625.882645
384	1625.560655
385	1625.356541
386	1624.940384
387	1624.535049
388	1623.788255
389	1622.90301
390	1622.545893
391	1622.413044
392	1621.719157
393	1621.281363
394	1621.089887
395	1620.718906
396	1620.39201
397	1619.735221
398	1619.482069
399	1619.239785
